title,links,first_paragraph
Biden’s Inauguration: Expect Smaller Crowds and More Social Distancing,https://www.nytimes.com/2020/11/30/us/politics/biden-inauguration.html?searchResultPosition=11,[Watch: Live analysis of Biden’s Inauguration] 
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/30/us/coronavirus-today.html?searchResultPosition=12,Welcome back.
Oregon Nurse Is Placed on Leave Over TikTok Video Mocking Masks,https://www.nytimes.com/2020/11/30/us/oregon-nurse-tiktok-mask.html?searchResultPosition=13,"A nurse in Oregon who mocked the state’s pandemic protocols in a video that circulated on TikTok by saying she does not wear a mask in public has been placed on administrative leave, her employer said."
Reopening Whiplash in New York City,https://www.nytimes.com/2020/11/30/us/reopening-whiplash-in-new-york-city.html?searchResultPosition=14,"Parents, teachers and children had only a few days to get used to the nation’s biggest school district shutting classrooms before Mayor Bill de Blasio announced another plot twist on Sunday: Students in pre-K and elementary school would return to school after all, starting on Dec. 7."
More Restrictions as the Covid-19 Surge Continues,https://www.nytimes.com/2020/11/30/us/covid-restrictions-california.html?searchResultPosition=15,Good morning.
‘Assume that you were exposed’: Officials warn of the fallout from Thanksgiving travel.,https://www.nytimes.com/2020/11/30/us/assume-that-you-were-exposed-officials-warn-of-the-fallout-from-thanksgiving-travel.html?searchResultPosition=16,"While many in the United States celebrated a muted Thanksgiving over Zoom, millions of people traveled instead, rejecting the advice of public officials."
Teaching in the Pandemic: ‘This Is Not Sustainable’,https://www.nytimes.com/2020/11/30/us/teachers-remote-learning-burnout.html?searchResultPosition=17,"At Farmington Central Junior High in rural Illinois, classes still start at 8 a.m. But that’s about the only part of the school day that has not changed for Caitlyn Clayton, an eighth-grade English teacher tirelessly toggling between in-person and remote students."
Ransomware Attack Closes Baltimore County Public Schools,https://www.nytimes.com/2020/11/29/us/baltimore-schools-cyberattack.html?searchResultPosition=18,"The public schools in Baltimore County, Md., will remain closed Monday and Tuesday as officials respond to a cyberattack that forced the district to cancel remote classes for its 115,000 students just before the Thanksgiving holiday, officials said."
"One Seat, Competing Pressures as Newsom Considers Senate Pick",https://www.nytimes.com/2020/11/29/us/California-senate-seat-padilla-newsom.html?searchResultPosition=19,"Since Gavin Newsom’s days as a young upstart running for mayor of San Francisco through more than two decades of public life, Alex Padilla has been a stalwart ally."
Virus Deaths Approach Spring Record Amid Changing U.S. Crisis,https://www.nytimes.com/2020/11/28/us/covid-deaths-united-states.html?searchResultPosition=20,"On April 15, the United States reached a grim nadir in the pandemic: 2,752 people across the country were reported to have died from Covid-19 that Wednesday, more than on any day before or since."
Plastic Dividers and Masks All Day: What Teaching in a Pandemic Looks Like,https://www.nytimes.com/2020/11/28/us/coronavirus-school-reopening.html?searchResultPosition=21,Zia Hellman prepared to welcome her kindergarten students back to Walter P. Carter Elementary/Middle School this month the way any teacher would on the first day of school: She fussed over her classroom.
Top Contenders for Biden’s Cabinet Draw Fire From All Sides,https://www.nytimes.com/2020/11/28/us/politics/biden-cabinet.html?searchResultPosition=22,"There are leading candidates and dark horses. There are potential roadblocks from progressives and conservatives. And there are competing factions hoping to be part of the next president’s inner circle, all jockeying for influence."
Los Angeles Bans Almost All Public Gatherings to Stop Virus Surge,https://www.nytimes.com/2020/11/27/us/los-angeles-bans-almost-all-public-gatherings-to-stop-virus-surge.html?searchResultPosition=23,"The Los Angeles County Department of Public Health on Friday called on residents to stay home as the virus continues its rapid surge, barring gatherings both in public at private homes if people are from different households."
Pictures of a Thanksgiving That No One Pictured,https://www.nytimes.com/2020/11/27/us/thanksgiving-coronavirus.html?searchResultPosition=24,"Whether they carved turkeys at outdoor picnic tables, connected with family through video calls or ate stuffing in the break room of a hospital coronavirus ward, many Americans found themselves marking this Thanksgiving in ways they hardly could have foreseen a year ago."
The Exquisite Angst of Applying to College in a Deeply Anxious Year,https://www.nytimes.com/2020/11/27/us/college-admissions-coronavirus.html?searchResultPosition=25,"As a new season for college applications begins, the coronavirus has upended the process, forcing millions of students to learn remotely, canceling college tours and standardized testing dates, and preventing legions of students from participating in sports and other extracurricular activities."
"Pregnant, Exhausted and Turned Back at the Border",https://www.nytimes.com/2020/11/27/us/border-mexico-pregnant-women.html?searchResultPosition=26,"Griselda was 38 weeks pregnant when she sneaked across the Rio Grande into the United States late one night last year. She started having contractions in a Border Patrol facility in McAllen, Texas, and was taken to a hospital where the medical staff gave her an injection to calm her pain and stop her from going into early labor."
U.N. Panel: Technology in Policing Can Reinforce Racial Bias,https://www.nytimes.com/2020/11/26/us/un-panel-technology-in-policing-can-reinforce-racial-bias.html?searchResultPosition=27,"Police departments across the United States have been drawn to the use of digital technology for surveillance and predicting crime on the theory that it will make law enforcement more accurate, efficient and effective. The alarming reality, United Nations human rights experts warned on Thursday, is that they risk reinforcing racial bias and abuse."
"Military’s Role in Vaccine Will Be Strictly Behind the Scenes, Despite Trump’s Claims",https://www.nytimes.com/2020/11/26/us/politics/coronavirus-vaccine-military-trump.html?searchResultPosition=28,"When President Trump talks about efforts to deliver the coronavirus vaccine to millions of Americans eager to return to their normal lives, he often says he is “counting on the military” to get it done."
Midnight Ruling Exposes Rifts at a Supreme Court Transformed by Trump,https://www.nytimes.com/2020/11/26/us/rifts-supreme-court-trump.html?searchResultPosition=29,"A few minutes before midnight on Wednesday, the nation got its first glimpse of how profoundly President Trump had transformed the Supreme Court."
"Splitting 5 to 4, Supreme Court Backs Religious Challenge to Cuomo’s Virus Shutdown Order",https://www.nytimes.com/2020/11/26/us/supreme-court-coronavirus-religion-new-york.html?searchResultPosition=30,The Supreme Court late Wednesday night barred restrictions on religious services in New York that Gov. Andrew M. Cuomo had imposed to combat the coronavirus.
Plastic Dividers and Masks All Day: What Teaching in a Pandemic Looks Like,https://www.nytimes.com/2020/11/28/us/coronavirus-school-reopening.html?searchResultPosition=31,Zia Hellman prepared to welcome her kindergarten students back to Walter P. Carter Elementary/Middle School this month the way any teacher would on the first day of school: She fussed over her classroom.
Top Contenders for Biden’s Cabinet Draw Fire From All Sides,https://www.nytimes.com/2020/11/28/us/politics/biden-cabinet.html?searchResultPosition=32,"There are leading candidates and dark horses. There are potential roadblocks from progressives and conservatives. And there are competing factions hoping to be part of the next president’s inner circle, all jockeying for influence."
Los Angeles Bans Almost All Public Gatherings to Stop Virus Surge,https://www.nytimes.com/2020/11/27/us/los-angeles-bans-almost-all-public-gatherings-to-stop-virus-surge.html?searchResultPosition=33,"The Los Angeles County Department of Public Health on Friday called on residents to stay home as the virus continues its rapid surge, barring gatherings both in public at private homes if people are from different households."
Pictures of a Thanksgiving That No One Pictured,https://www.nytimes.com/2020/11/27/us/thanksgiving-coronavirus.html?searchResultPosition=34,"Whether they carved turkeys at outdoor picnic tables, connected with family through video calls or ate stuffing in the break room of a hospital coronavirus ward, many Americans found themselves marking this Thanksgiving in ways they hardly could have foreseen a year ago."
The Exquisite Angst of Applying to College in a Deeply Anxious Year,https://www.nytimes.com/2020/11/27/us/college-admissions-coronavirus.html?searchResultPosition=35,"As a new season for college applications begins, the coronavirus has upended the process, forcing millions of students to learn remotely, canceling college tours and standardized testing dates, and preventing legions of students from participating in sports and other extracurricular activities."
"Pregnant, Exhausted and Turned Back at the Border",https://www.nytimes.com/2020/11/27/us/border-mexico-pregnant-women.html?searchResultPosition=36,"Griselda was 38 weeks pregnant when she sneaked across the Rio Grande into the United States late one night last year. She started having contractions in a Border Patrol facility in McAllen, Texas, and was taken to a hospital where the medical staff gave her an injection to calm her pain and stop her from going into early labor."
U.N. Panel: Technology in Policing Can Reinforce Racial Bias,https://www.nytimes.com/2020/11/26/us/un-panel-technology-in-policing-can-reinforce-racial-bias.html?searchResultPosition=37,"Police departments across the United States have been drawn to the use of digital technology for surveillance and predicting crime on the theory that it will make law enforcement more accurate, efficient and effective. The alarming reality, United Nations human rights experts warned on Thursday, is that they risk reinforcing racial bias and abuse."
"Military’s Role in Vaccine Will Be Strictly Behind the Scenes, Despite Trump’s Claims",https://www.nytimes.com/2020/11/26/us/politics/coronavirus-vaccine-military-trump.html?searchResultPosition=38,"When President Trump talks about efforts to deliver the coronavirus vaccine to millions of Americans eager to return to their normal lives, he often says he is “counting on the military” to get it done."
Midnight Ruling Exposes Rifts at a Supreme Court Transformed by Trump,https://www.nytimes.com/2020/11/26/us/rifts-supreme-court-trump.html?searchResultPosition=39,"A few minutes before midnight on Wednesday, the nation got its first glimpse of how profoundly President Trump had transformed the Supreme Court."
"Splitting 5 to 4, Supreme Court Backs Religious Challenge to Cuomo’s Virus Shutdown Order",https://www.nytimes.com/2020/11/26/us/supreme-court-coronavirus-religion-new-york.html?searchResultPosition=40,The Supreme Court late Wednesday night barred restrictions on religious services in New York that Gov. Andrew M. Cuomo had imposed to combat the coronavirus.
Two Texas Men Charged With Scheme to Sell 50 Million Nonexistent N95 Masks,https://www.nytimes.com/2020/11/25/us/n95-mask-sales-houston.html?searchResultPosition=41,"Two Houston-area men have been indicted by a federal grand jury on charges that they negotiated a deal to sell 50 million nonexistent N95 masks to a foreign government in an attempt to defraud it out of over $317 million, federal officials said on Tuesday."
Biden’s Cabinet and Senior Advisers,https://www.nytimes.com/article/joe-biden-cabinet.html?searchResultPosition=42,"President Biden has chosen a team of cabinet members and senior advisers who bring government experience and expertise in their fields to confront four fronts of challenges: getting control of Covid-19, systemic racism, the economy and climate change."
"Biden Urges Unity: ‘We’re at War With the Virus, Not With One Another’",https://www.nytimes.com/2020/11/25/us/politics/biden-address.html?searchResultPosition=43,"President-elect Joseph R. Biden Jr. on Wednesday delivered a raw but optimistic address to Americans in his first nonpolitical speech since winning the election, pleading with the nation to “hang on” and have hope even with the number of coronavirus cases spiking across the country and a hard winter on the horizon."
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/25/us/coronavirus-today.html?searchResultPosition=44,"Americans are preparing for what will be, for many, one of the strangest and most anxiety-filled Thanksgiving holidays of their lives."
Words of Gratitude From Alabama,https://www.nytimes.com/2020/11/25/us/words-of-gratitude-from-alabama.html?searchResultPosition=45,"In Alabama, we’ve been grateful for a long, beautiful spring, a not-too-hot summer and a fall that’s been about as perfect as fall can be in the South, enabling us to see friends and family in safer, outdoor settings. A statewide mask mandate, in place since July, helped further slow the spread of Covid-19. In a state that loves its college football, schools have been able to hold at least some games, making life feel a little more normal to many. People here rally to help each other out in times of crisis, while those fighting to end systemic injustice have persisted in their efforts. One, the environmental health advocate Catherine Coleman Flowers, was recently named a MacArthur Fellow for her work to improve the lives of rural Alabamians."
Words of Gratitude From Kentucky,https://www.nytimes.com/2020/11/25/us/words-of-gratitude-from-kentucky.html?searchResultPosition=46,"In the Age of Covid, where distance and isolation are the necessary but sad rules of the day, poems and stories have the power to bridge the distance and bind us."
Words of Gratitude From Delaware,https://www.nytimes.com/2020/11/25/us/words-of-gratitude-from-delaware.html?searchResultPosition=47,"Delaware is thankful that, despite the array of challenges facing our nation including the unimaginable loss of life from Covid-19, the strains on our economy and the daily stress of just living during a global pandemic, our former senior senator and former vice president will become the next commander in chief."
A Looming Drinksgiving Disaster,https://www.nytimes.com/2020/11/25/us/drinksgiving-thanksgiving-eve-superspreader-college-bars.html?searchResultPosition=48,"In the before times, Thanksgiving Eve was, perhaps, the busiest bar night of the year. This year, it could become a superspreader event that no one is thankful for."
"Virus Surge, Once in the Nation’s Middle, Gains Steam All Around",https://www.nytimes.com/2020/11/25/us/covid-united-states-spread.html?searchResultPosition=49,What started as a Midwestern surge has grown into coast-to-coast disaster.
How Californians Are Adapting Thanksgiving,https://www.nytimes.com/2020/11/25/us/how-californians-are-adapting-thanksgiving.html?searchResultPosition=50,Good morning.
Two Texas Men Charged With Scheme to Sell 50 Million Nonexistent N95 Masks,https://www.nytimes.com/2020/11/25/us/n95-mask-sales-houston.html?searchResultPosition=51,"Two Houston-area men have been indicted by a federal grand jury on charges that they negotiated a deal to sell 50 million nonexistent N95 masks to a foreign government in an attempt to defraud it out of over $317 million, federal officials said on Tuesday."
Biden’s Cabinet and Senior Advisers,https://www.nytimes.com/article/joe-biden-cabinet.html?searchResultPosition=52,"President Biden has chosen a team of cabinet members and senior advisers who bring government experience and expertise in their fields to confront four fronts of challenges: getting control of Covid-19, systemic racism, the economy and climate change."
"Biden Urges Unity: ‘We’re at War With the Virus, Not With One Another’",https://www.nytimes.com/2020/11/25/us/politics/biden-address.html?searchResultPosition=53,"President-elect Joseph R. Biden Jr. on Wednesday delivered a raw but optimistic address to Americans in his first nonpolitical speech since winning the election, pleading with the nation to “hang on” and have hope even with the number of coronavirus cases spiking across the country and a hard winter on the horizon."
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/25/us/coronavirus-today.html?searchResultPosition=54,"Americans are preparing for what will be, for many, one of the strangest and most anxiety-filled Thanksgiving holidays of their lives."
Words of Gratitude From Alabama,https://www.nytimes.com/2020/11/25/us/words-of-gratitude-from-alabama.html?searchResultPosition=55,"In Alabama, we’ve been grateful for a long, beautiful spring, a not-too-hot summer and a fall that’s been about as perfect as fall can be in the South, enabling us to see friends and family in safer, outdoor settings. A statewide mask mandate, in place since July, helped further slow the spread of Covid-19. In a state that loves its college football, schools have been able to hold at least some games, making life feel a little more normal to many. People here rally to help each other out in times of crisis, while those fighting to end systemic injustice have persisted in their efforts. One, the environmental health advocate Catherine Coleman Flowers, was recently named a MacArthur Fellow for her work to improve the lives of rural Alabamians."
Words of Gratitude From Kentucky,https://www.nytimes.com/2020/11/25/us/words-of-gratitude-from-kentucky.html?searchResultPosition=56,"In the Age of Covid, where distance and isolation are the necessary but sad rules of the day, poems and stories have the power to bridge the distance and bind us."
Words of Gratitude From Delaware,https://www.nytimes.com/2020/11/25/us/words-of-gratitude-from-delaware.html?searchResultPosition=57,"Delaware is thankful that, despite the array of challenges facing our nation including the unimaginable loss of life from Covid-19, the strains on our economy and the daily stress of just living during a global pandemic, our former senior senator and former vice president will become the next commander in chief."
A Looming Drinksgiving Disaster,https://www.nytimes.com/2020/11/25/us/drinksgiving-thanksgiving-eve-superspreader-college-bars.html?searchResultPosition=58,"In the before times, Thanksgiving Eve was, perhaps, the busiest bar night of the year. This year, it could become a superspreader event that no one is thankful for."
"Virus Surge, Once in the Nation’s Middle, Gains Steam All Around",https://www.nytimes.com/2020/11/25/us/covid-united-states-spread.html?searchResultPosition=59,What started as a Midwestern surge has grown into coast-to-coast disaster.
How Californians Are Adapting Thanksgiving,https://www.nytimes.com/2020/11/25/us/how-californians-are-adapting-thanksgiving.html?searchResultPosition=60,Good morning.
Transition Gets Underway in Earnest as Biden Team Fans Out Across Capital,https://www.nytimes.com/2020/11/24/us/politics/biden-transition.html?searchResultPosition=61,[Here’s how to watch the Biden inauguration.] 
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/24/us/coronavirus-today.html?searchResultPosition=62,President-elect Joe Biden’s battle against the coronavirus officially began today.
Yellen Would Assume Vast Policy Portfolio as Treasury Secretary,https://www.nytimes.com/2020/11/24/us/politics/janet-yellen-treasury-biden.html?searchResultPosition=63,Janet L. Yellen’s expected nomination as Treasury secretary will place the former Federal Reserve chair into a critical role overseeing President-elect Joseph R. Biden Jr.’s economic and national security agenda at an agency that has increasingly become a center of power.
"As Their D.C. Days Dwindle, Ivanka and Jared Look for a New Beginning",https://www.nytimes.com/2020/11/24/us/politics/ivanka-jared.html?searchResultPosition=64,"Town officials in Bedminster, N.J., have the plans for a possible Trump family future, or at least the blueprints: a major addition to Ivanka Trump and Jared Kushner’s “cottage” on the grounds of the Trump National Golf Club, four new pickleball courts, a relocated heliport, and a spa and yoga complex."
Unemployment Scam Using Inmates’ Names Costs California Hundreds of Millions,https://www.nytimes.com/2020/11/24/us/california-unemployment-fraud-inmates.html?searchResultPosition=65,"A rash of fraudulent pandemic unemployment claims filed under the names of jail and prison inmates, including more than 100 on death row, has bilked California out of hundreds of millions of dollars, a law enforcement task force said Tuesday."
Here’s One Issue That Could Actually Break the Partisan Gridlock,https://www.nytimes.com/2020/11/24/us/criminal-justice-reform-republicans-democrats.html?searchResultPosition=66,"In Collin County, Texas, a suburban area northeast of Dallas where Democrats hoped for a blue wave on Election Day, State Representative Jeff Leach attacked his Democratic challenger as an “extreme anti-police zealot.”"
Newsom Family Quarantines Amid California’s Covid Surge,https://www.nytimes.com/2020/11/24/us/newsom-quarantine-update.html?searchResultPosition=67,Good morning.
The start of the transition means Biden’s battle against the coronavirus begins.,https://www.nytimes.com/2020/11/24/us/the-start-of-the-transition-means-bidens-battle-against-the-coronavirus-begins.html?searchResultPosition=68,"Until now, President-elect Joseph R. Biden Jr.’s Covid-19 task force has had to prepare its battle plan without the keys to the government agencies leading the pandemic response."
"Virginia Democrats, Thrilled With Biden Victory, Aren’t Looking for Carbon Copy",https://www.nytimes.com/2020/11/24/us/politics/virginia-democrats-governor.html?searchResultPosition=69,Katherine White spent countless hours this year organizing voters to back Joseph R. Biden Jr. for president.
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/23/us/coronavirus-today.html?searchResultPosition=70,"With Thanksgiving on the horizon, politicians and public health officials have warned against gatherings among family and friends, calling them a major driver of new coronavirus infections. And they are right that you should minimize your risk this week."
Transition Gets Underway in Earnest as Biden Team Fans Out Across Capital,https://www.nytimes.com/2020/11/24/us/politics/biden-transition.html?searchResultPosition=71,[Here’s how to watch the Biden inauguration.] 
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/24/us/coronavirus-today.html?searchResultPosition=72,President-elect Joe Biden’s battle against the coronavirus officially began today.
Yellen Would Assume Vast Policy Portfolio as Treasury Secretary,https://www.nytimes.com/2020/11/24/us/politics/janet-yellen-treasury-biden.html?searchResultPosition=73,Janet L. Yellen’s expected nomination as Treasury secretary will place the former Federal Reserve chair into a critical role overseeing President-elect Joseph R. Biden Jr.’s economic and national security agenda at an agency that has increasingly become a center of power.
"As Their D.C. Days Dwindle, Ivanka and Jared Look for a New Beginning",https://www.nytimes.com/2020/11/24/us/politics/ivanka-jared.html?searchResultPosition=74,"Town officials in Bedminster, N.J., have the plans for a possible Trump family future, or at least the blueprints: a major addition to Ivanka Trump and Jared Kushner’s “cottage” on the grounds of the Trump National Golf Club, four new pickleball courts, a relocated heliport, and a spa and yoga complex."
Unemployment Scam Using Inmates’ Names Costs California Hundreds of Millions,https://www.nytimes.com/2020/11/24/us/california-unemployment-fraud-inmates.html?searchResultPosition=75,"A rash of fraudulent pandemic unemployment claims filed under the names of jail and prison inmates, including more than 100 on death row, has bilked California out of hundreds of millions of dollars, a law enforcement task force said Tuesday."
Here’s One Issue That Could Actually Break the Partisan Gridlock,https://www.nytimes.com/2020/11/24/us/criminal-justice-reform-republicans-democrats.html?searchResultPosition=76,"In Collin County, Texas, a suburban area northeast of Dallas where Democrats hoped for a blue wave on Election Day, State Representative Jeff Leach attacked his Democratic challenger as an “extreme anti-police zealot.”"
Newsom Family Quarantines Amid California’s Covid Surge,https://www.nytimes.com/2020/11/24/us/newsom-quarantine-update.html?searchResultPosition=77,Good morning.
The start of the transition means Biden’s battle against the coronavirus begins.,https://www.nytimes.com/2020/11/24/us/the-start-of-the-transition-means-bidens-battle-against-the-coronavirus-begins.html?searchResultPosition=78,"Until now, President-elect Joseph R. Biden Jr.’s Covid-19 task force has had to prepare its battle plan without the keys to the government agencies leading the pandemic response."
"Virginia Democrats, Thrilled With Biden Victory, Aren’t Looking for Carbon Copy",https://www.nytimes.com/2020/11/24/us/politics/virginia-democrats-governor.html?searchResultPosition=79,Katherine White spent countless hours this year organizing voters to back Joseph R. Biden Jr. for president.
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/11/23/us/coronavirus-today.html?searchResultPosition=80,"With Thanksgiving on the horizon, politicians and public health officials have warned against gatherings among family and friends, calling them a major driver of new coronavirus infections. And they are right that you should minimize your risk this week."
Biden Nominates Cuban-Born Lawyer to Lead Homeland Security Dept.,https://www.nytimes.com/2020/11/23/us/politics/biden-mayorkas-homeland-security.html?searchResultPosition=81,"In between leading his law office’s response to the coronavirus and working on high-profile legal cases, Alejandro N. Mayorkas has spent the past four years studying the Trump administration’s immigration agenda, often answering questions from his law partners on the legality of President Trump’s policies."
"Outdoor Learning, in Blustery Weather",https://www.nytimes.com/2020/11/23/us/outdoor-learning-in-blustery-weather.html?searchResultPosition=82,"This summer, teachers rolled up their T-shirt sleeves and set out to make a plan for outdoor learning. A teacher in Wisconsin worked with her students to build a 12-sided outdoor classroom. A school in New York City held class on the roof. A district superintendent in Maine bought every Adirondack chair she could find."
The National Zoo’s Panda Cub Has a Name: Xiao Qi Ji,https://www.nytimes.com/2020/11/23/us/baby-panda-name-national-zoo.html?searchResultPosition=83,"Three months after his birth, the National Zoo’s panda cub now has a name."
More than 100 C.E.O.s urge Trump to let the transition of power begin.,https://www.nytimes.com/2020/11/23/us/more-than-100-ceos-urge-trump-to-let-the-transition-of-power-begin.html?searchResultPosition=84,More than 100 chief executives asked the Trump administration on Monday to immediately acknowledge Joseph R. Biden Jr. as the president-elect and begin the transition to a new administration.
The G20’s closing statement reflects rifts between the U.S. and its allies.,https://www.nytimes.com/2020/11/23/us/the-g20s-closing-statement-reflects-rifts-between-the-us-and-its-allies.html?searchResultPosition=85,"A closing statement released on Sunday by officials at the Group of 20 summit served as what might have been the Trump presidency’s final reminder of the wide gulf between the United States and its allies on handling global threats, like the coronavirus pandemic and climate change."
What to Know About California’s Vaccine Rollout,https://www.nytimes.com/2020/11/23/us/covid-vaccine-ca.html?searchResultPosition=86,Good morning.
"Business Leaders, Citing Damage to Country, Urge Trump to Begin Transition",https://www.nytimes.com/2020/11/23/us/trump-economy-ny.html?searchResultPosition=87,"Concerned that President Trump’s refusal to accept the election results is hurting the country, more than 160 top American executives asked the administration on Monday to immediately acknowledge Joseph R. Biden Jr. as the president-elect and begin the transition to a new administration."
Pandemic Crowds Bring ‘Rivergeddon’ to Montana’s Rivers,https://www.nytimes.com/2020/11/23/us/pandemic-montana-wilderness-rush.html?searchResultPosition=88,"The Madison River rushes down out of the snows and springs atop the Yellowstone plateau, a dark blue, rock-studded, world-class fishing stream."
"Georgia Is a Purple State, but Don’t Expect Centrist Politicians",https://www.nytimes.com/2020/11/23/us/politics/ossoff-perdue-loeffler-warnock.html?searchResultPosition=89,"The Republican Senate candidates in Georgia are spending tens of millions of dollars on an almost entirely negative advertising campaign, embracing a strategy of riling up the conservative base in hopes of generating enough turnout to win two critical runoff elections that will decide control of the Senate."
"Hospitals around the U.S. are short of staff, with little relief in sight.",https://www.nytimes.com/2020/11/22/us/hospitals-around-the-us-are-short-of-staff-with-little-relief-in-sight.html?searchResultPosition=90,"Coronavirus patients are swamping U.S. hospitals in record numbers, straining the health care system much more widely than the first acute outbreaks did in the spring."
Biden Nominates Cuban-Born Lawyer to Lead Homeland Security Dept.,https://www.nytimes.com/2020/11/23/us/politics/biden-mayorkas-homeland-security.html?searchResultPosition=91,"In between leading his law office’s response to the coronavirus and working on high-profile legal cases, Alejandro N. Mayorkas has spent the past four years studying the Trump administration’s immigration agenda, often answering questions from his law partners on the legality of President Trump’s policies."
"Outdoor Learning, in Blustery Weather",https://www.nytimes.com/2020/11/23/us/outdoor-learning-in-blustery-weather.html?searchResultPosition=92,"This summer, teachers rolled up their T-shirt sleeves and set out to make a plan for outdoor learning. A teacher in Wisconsin worked with her students to build a 12-sided outdoor classroom. A school in New York City held class on the roof. A district superintendent in Maine bought every Adirondack chair she could find."
The National Zoo’s Panda Cub Has a Name: Xiao Qi Ji,https://www.nytimes.com/2020/11/23/us/baby-panda-name-national-zoo.html?searchResultPosition=93,"Three months after his birth, the National Zoo’s panda cub now has a name."
More than 100 C.E.O.s urge Trump to let the transition of power begin.,https://www.nytimes.com/2020/11/23/us/more-than-100-ceos-urge-trump-to-let-the-transition-of-power-begin.html?searchResultPosition=94,More than 100 chief executives asked the Trump administration on Monday to immediately acknowledge Joseph R. Biden Jr. as the president-elect and begin the transition to a new administration.
The G20’s closing statement reflects rifts between the U.S. and its allies.,https://www.nytimes.com/2020/11/23/us/the-g20s-closing-statement-reflects-rifts-between-the-us-and-its-allies.html?searchResultPosition=95,"A closing statement released on Sunday by officials at the Group of 20 summit served as what might have been the Trump presidency’s final reminder of the wide gulf between the United States and its allies on handling global threats, like the coronavirus pandemic and climate change."
