text,label,class
"Rosalind Wyman has been a delegate at every Democratic National Convention since 1952, save the one in 1968. And, at age 89, she was certain that this year would be no different.",3,1
"Technology will be made to help predict the next phase of fraud and illegal behavior. As part of the plan, China’s state-run Xinhua news agency will begin a 24-hour documentary series on Sunday, one of several new offerings the country is working on.",3,1
"He has been stranded at home for the past two weeks, fighting the thoughts of Britain’s prime minister as he pivots on Britain’s membership of the European Union.",3,1
"In the middle of March, as Covid-19 was shutting down the U.S. economy, Hughes Marino, a West Coast commercial real estate brokerage firm based in San Diego, wrote an email to clients offering to haggle with their landlords for lower rent. The firm was ready to help companies “restructure their leases as rents collapse,” it said.",3,1
"President Biden will not be tested for the coronavirus after coming into contact with a New York hospital patient on Saturday night, just hours after he tested positive for the virus, a senior White House official said on Sunday.",3,1
"One day in May, as the coronavirus pandemic was beginning to sweep across Europe, Anja Paskova, a medical student in St. Louis, knew she had to leave her home to get answers.",3,1
"Millions of Americans are not getting the second doses of their Covid-19 vaccines, and their ranks are growing.",3,1
"The decision by British drug regulators to recommend against use of the country’s largest ever coronavirus vaccine was not a surprise, and it might even be convenient.",3,1
"It began with a pair of firsts, one hopeful and one grim: There was a woman in the New York City Giants hockey team who broke the ice after a game in early March.",3,1
"The information in this article is outdated. On Thursday, November 30, President Trump announced that the government would begin ceasing its reliance on the Old Dominion as the United States approaches the end of the coronavirus crisis.",3,1
"Severe flooding struck central Michigan on Wednesday after two dams were breached by rain-swollen waters, forcing the evacuation of thousands of residents and prompting officials to call for life-saving measures.",3,1
"On the face of it, stocks have behaved impossibly risky in recent weeks. Even before the pandemic, investors were expecting stocks to decline as people across the country pulled their money out of the booming stock market.",3,1
"Pope Francis made an audacious return to the world stage in the midst of the pandemic on Friday when he became the first leader of the Roman Catholic church to visit Iraq, seeking to help heal a nation uniquely wounded by violent sectarianism, foreign adventurism and the persecution of minority populations, including his own Christian flock.",3,1
"Nearly half of the roughly 8,700 state prison inmates in Kansas have received a coronavirus vaccine, and state officials say that all prisoners who want shots will have gotten at least a first dose by the middle of April.",3,1
"Bowing to threats posed by the coronavirus, President Biden agreed on Wednesday to place restrictions on the next round of stimulus payments, making one of the largest known concessions to a presidential candidate in an effort to persuade skeptical lawmakers to meet his deadlines for the economy to turn around.",3,1
"Patagonia has never been a typical company. Founded by a mercurial mountain climber named Yvon Chouinard, the privately held outdoor apparel and equipment maker has blazed its own trail for nearly 50 years. It was early to embrace organic materials, has a long history of political activism and once ran an ad telling people not to buy its products.",3,1
"Prime Minister Boris Johnson announced plans on Saturday to shut down pubs, restaurants and most retail shops throughout England, a stark reversal in the face of grim projections that the country could face a deadly winter from the coronavirus if the restrictions are not eased.",3,1
"A fast-spreading coronavirus variant first observed in Britain has gained a worrisome mutation that could make it harder to control with vaccines, Public Health England reported on Monday. And on Tuesday, a team of scientists reported an experiment suggesting that this mutation might make vaccines somewhat less effective against the variant.",3,1
The more contagious coronavirus variant first identified in Britain has pushed cases in Italy to their highest level in Europe and outstripped the rest of the continent in the number of new cases. The WHO has warned that Italy will be under a state of emergency because of the spread of the variant.,3,1
"The Federal Reserve chair, Jerome H. Powell, warned on Wednesday that the coronavirus epidemic sweeping China could pose broader economic risks, even as he signaled that the central bank was comfortable holding interest rates steady for now.",3,1
"Ever since the coronavirus emerged in Europe, Sweden has captured international attention by conducting an unorthodox, open-air experiment. It has allowed the world to examine what happens in a pandemic when a government allows life to carry on largely unhindered.",3,1
"Standing in a packed amphitheater in front of Mount Rushmore for an Independence Day celebration, President Trump delivered a dark and divisive speech on Friday that cast his struggling effort to win a second term as a battle against a “new far-left fascism” seeking to wipe out the nation’s values and history.",3,1
Scott Thiel can’t remember the last time BlackRock Investment Institute had a positive view on European stocks. It’s been that long.,3,1
"China’s top leader, Xi Jinping, toured Wuhan, the city at the center of a now global epidemic, for the first time since the coronavirus outbreak began, hoping to demonstrate that his government was containing a crisis that has tarnished his image at home and abroad.",3,1
"As lawmakers push for billions of dollars to fund the nation’s efforts to track coronavirus variants, the Biden administration announced on Wednesday a new effort to ramp up this work, pledging nearly $200 million to better identify the emerging threats.",3,1
Countries that are moving quickly to vaccinate their populations are poised to move out of the deadliest phase of the pandemic in a matter of weeks.,3,1
Hospitals around the country who have been waiting months for the first doses rapidly scrambled to put together events after unknowns about the vaccine and its distribution made it difficult to perfectly plan for its arrival.,3,1
"President-elect Joseph R. Biden Jr. on Friday promised an accelerated response to the coronavirus, training sessions with military commanders a top priority.",3,1
"The number of new coronavirus cases confirmed to be transmitted to the United States has steadily declined in the early months of the year. In the first three months of the year, the federal government reported just 113,000 cases, far short of the target needed to ensure that the epidemic doesn’t spread unchecked.",3,1
"In the coming days, we are rolling out major changes to the virus testing system we have created. Starting on a reservation in South Africa, a team of experts from the World Health Organization will conduct field tests at 10,000 concentration sites to help weed out the many vulnerable people who have yet to be vaccinated against the coronavirus.",3,1
"At the beginning of the year, the T.J. Coronavirus seemed a faraway problem, a pandemic that affected only China and a handful of other countries. As Covid-19 spread, other nations had set up their own testing programs, and national health authorities approved their use.",3,1
Frank King has gotten death threats. So many angry strangers have called his phone in recent weeks that he changed his number. And his neighbors have offered to bring food to his doorstep if he would just agree to stay inside his house.,3,1
"People with dementia had significantly greater risk of contracting the coronavirus, and they were much more likely to be hospitalized and die from it, than people without dementia, a new study of millions of medical records in the United States has found.",3,1
"A vaccine developed in China appears to be safe and may protect people from the new coronavirus, researchers in the U.S. reported on Friday.",3,1
"As soon as she heard about a cluster of coronavirus cases at the Tyson pork processing plant on the edge of Columbus Junction, Iowa, Cindy Johnston felt a ripple effect through her small community along the Iowa River.",3,1
"Stocks on Wall Street erased their losses for the year, a remarkable milestone for a market that was reeling just a few months ago as the pandemic raged through China.",3,1
"As the vaccine enters its final stage, a countrywide search for more cases is unfolding, with billions of doses of both unvaccinated Americans and people with medical conditions that might put them at higher risk of contracting the coronavirus.",3,1
"The White House said on Tuesday that it would soon offer an $89 billion lifeline to companies saddled by the economic devastation of the pandemic, but it has so far resisted calls by Senate Republicans to immediately provide the money and other incentives that would set the stage for sustained economic growth.",3,1
"Three people in the United States have died, three are in critical condition, and one is permanently blind after ingesting hand sanitizer that contained methanol, the first federal death from the coronavirus in the country.",3,1
"A nurse at the suburban Seattle nursing home that was ravaged by the first U.S. cluster of coronavirus cases sat down beside a visiting pharmacist on Monday, pulled up her blue shirtsleeve and received the first dose of the Covid-19 vaccine administered at the facility.",3,1
"Lawmakers crept toward a possible consensus on Monday on a stimulus deal to address the toll of the pandemic, as a bipartisan group of centrist members of Congress pared back their compromise plan to omit the most contentious sticking points.",3,1
"After a week of mounting legal pressure, Northern Ireland’s Department of Health authorized abortion services in the region late on Thursday, putting into force legislation that overturns one of the world’s most restrictive abortion laws.",3,1
A police officer in the Philippines was killed this week after a fighting rooster slashed him during a raid on an illegal cockfighting den to stop the spread of the coronavirus.,3,1
"For more than a century, Rio de Janeiro’s carnival has been an irrepressible force, unstoppable by wars, disease, labor strikes or political repression.",3,1
"When he takes office on Thursday, President Trump will confront a sharply divided Congress where many Republicans argued that his election was fraudulent.",3,1
"The vaccine arrived at the University of Iowa Hospital at 7:30 a.m. in a refrigerated FedEx truck, and it was not long before the first dose was injected into the arm of David Conway, 39, an emergency-room nurse.",3,1
"The Covid-19 crisis 10 years ago forced the Colliers Foundation, a medical research and development organization, to seek a foundation other than its own to continue work on a medical front. The Foundation’s work in recent years has had a financial endowment that has helped it weather the most of the pandemic, while its advertising budget has allowed it to keep its doors open and its doors widely accessible.",3,1
"As the coronavirus pandemic continues to wreak havoc in the United States and treatments are needed more than ever, clinical trials for some of the most promising experimental drugs are taking longer than expected.",3,1
"A week into the fall semester, the University of Notre Dame announced on Tuesday that it would not allow students to bring in visitors from mainland China, ending a semester in which the virus began to alter the campus as teachers and students grapple with a pandemic that is both physical and digital.",3,1
"President Trump said on Wednesday that he considered himself “blessed” by the “God,” and credited his “miracle” cure for the coronavirus, continuing to distance himself from the diagnosis and seeming to suggest that he was “blessed” by the “God,” and appeared to be able to go back to work.",3,1
"For people who have had Covid-19, a single dose of the Pfizer vaccine is enough to provide robust protection from the coronavirus, according to two new studies from Britain that were published late Thursday in The Lancet, a prominent medical journal.",3,1
"President-elect Joseph R. Biden Jr. on Tuesday criticized the speed of vaccine distribution under the Trump administration and promised to step up the pace when he takes office, while delivering a sober warning about the toll of the coronavirus pandemic.",3,1
"The Austrian government, fearing a growing threat from the new coronavirus, pulled out of hosting the Summer Olympics in the country in a year ago.",3,1
The protester was head of a small group that surrounded the Transportation Department’s entrance. He had been certified as a community health worker in a state where most people who traveled had stayed indoors.,3,1
"The $2 trillion economic relief package that the president negotiated with the legislature to pass a coronavirus relief bill will expire at the end of each month, the Senate’s top rule-enforcer said on Wednesday.",3,1
"The officials from various European countries are scrambling to find ways to protect their borders against what is likely to be the start of a new wave of the coronavirus, as some countries reopen their borders and others choose to halt their departure.",3,1
"Flooded by requests for help like never before, a federal disaster loan program that was supposed to deliver emergency relief to small businesses in just three days has run low on funding and nearly frozen up entirely. Now, business owners who applied are desperate for cash and answers about what aid, if any, they are going to receive.",3,1
"Ending a 510-day political crisis that three elections had failed to resolve, Israel on Sunday swore in a new government charged with responding to the coronavirus pandemic, extending Prime Minister Benjamin Netanyahu’s record-setting tenure just a week before his corruption trial is set to begin.",3,1
"Antiviral drugs that had held promise as a potential treatment for the coronavirus did not work in one of the first major studies in seriously ill patients, researchers from the University of Mannheim in Germany reported on Wednesday.",3,1
"For every confirmed case of Covid-19, about half a million people in the United States must first be quarantined at home, in order to remain safe from the coronavirus.",3,1
"The coronavirus pandemic has killed more than 1.3 million people. But even before the coronavirus pandemic, Japan’s economy was in trouble. Imports were plummeting on slowing demand from China, while the country’s tax burden was mounting.",3,1
"By now, we were supposed to be swiftly approaching the day when we could walk into a CVS or Walgreens, a Best Buy or Walmart, and walk out with a pair of quality, affordable hearing aids approved by the Food and Drug Administration.",3,1
"A New York man has been charged with fraudulently obtaining a $10,000 loan from the Paycheck Protection Program and using the proceeds to buy a luxury air travel ticket, prosecutors said on Thursday.",3,1
"Factories are idled. Workers are in lockdown. Goods are piling up at some ports, while elsewhere container ships sail empty. Dairy farmers are dumping their milk, while toilet paper aisles at the grocery store. Trump administration officials are contemplating how to extend the deadline for online federal unemployment claims, a signal of desperation on the part of American workers who have been unable to find other work after too many weeks of economic disruption.",3,1
"The attackers came out one after another, with machetes macheting their victims, until finally, one struck the prime minister, who reflexively tackled them but seemed to be of little consequence.",3,1
"Vice President Mike Pence, the first in line to occupy the Oval Office if President Trump becomes too ill to carry out his duties, tested negative for the coronavirus and planned to resume campaign appearances, including at the vice-presidential debate on Thursday night.",3,1
"The Southern Baptist Convention’s executive committee voted on Tuesday to expel four of its member churches, ousting two for policies that “affirm homosexual behavior” and the others for employing pastors who are convicted sex offenders.",3,1
"On the eve of accepting the Republican nomination for president four years ago, Donald J. Trump declared that he would pull out of NATO if American allies did not pay more for their defense, gestures that signaled a sharply increased willingness to challenge the alliance’s economic realities and the Trump campaign’s long-held belief that American influence could be undermined by Beijing.",3,1
The Food and Drug Administration said on Monday that vaccine developers would not need to conduct lengthy randomized controlled trials for vaccines that have been adapted to protect against concerning coronavirus variants.,3,1
"President Trump on Monday ordered an end to the ban on travelers from Europe and Brazil that had been aimed at stopping the spread of the coronavirus to the United States, a move that was quickly rejected by aides to President-elect Joseph R. Biden Jr., who said Mr. Biden will rescind the move when he takes office on Wednesday.",3,1
"Argentina is hurtling toward default on international loans in two weeks, a prospect that threatens to revive its reputation as a serial deadbeat and global financial pariah that could haunt the Latin American country long after the pandemic is over.",3,1
"Johnson & Johnson’s Covid-19 vaccine was endorsed on Saturday by a panel of experts advising the Food and Drug Administration, clearing the last hurdle before a formal authorization expected on Sunday, according to two people familiar with the agency’s plans. The nation’s first shipments will go out in the days after that.",3,1
"As the pandemic enters its second year, many cities are choosing to end their lockdowns and reopen their economies rather than face the devastating effects of the coronavirus.",3,1
"As the coronavirus pandemic continues to wreak havoc in the United States and treatments are needed more than ever, Dr. Anthony S. Fauci said on Sunday that the country’s aclivity to prescribe drugs and medical procedures had left doctors ill-prepared.",3,1
"Of all the ways to describe the fraught decision to reopen schools during a pandemic, Gov. Ron DeSantis of Florida, a former Navy prosecutor, chose an especially dramatic example when he compared the commitment of teachers and administrators to the resolve of Navy SEALs given the mission to go after Osama bin Laden.",3,1
"The Covid-19 vaccine was endorsed on Friday by a panel of experts advising the Food and Drug Administration, clearing the last hurdle before a formal authorization expected on Saturday, according to two people familiar with the agency’s plans. The nation’s first shipments will go out in the days after that.",3,1
"Travel by noncitizens into the United States from South Africa will be banned over concerns about a coronavirus variant spreading in that country. And bans put in place last year on travel from Brazil, 27 European countries and Britain will be extended, the Biden administration announced on Monday.",3,1
"As the global economy was hit by the first of two major waves of the coronavirus, China’s diplomats reacted harshly toward countries that imposed tighter restrictions on themselves. One has closed its borders, weighed down by years of trying to dismantle the virus, to curb its spread.",3,1
The Supreme Court rejected a request on Wednesday from a church in California to block enforcement of state restrictions on attendance at religious services.,3,1
"The Covid-19 vaccine made by Moderna has protected Hong Kong residents from the coronavirus, and the city’s government is considering whether to extend the deadline for online registration to six months from three months, a city official said on the first day of closed-door enrollment.",3,1
"World leaders have spent the past several weeks grappling with the unexpected, as country after country has seen the coronavirus arrive at its borders and an outbreak has exploded into a pandemic.",3,1
"College students across the country have been warned that campus life will look drastically different in the fall, with temperature checks at academic buildings, masks in half-empty lecture halls and maybe no football games.",3,1
"In a sharp break with the Trump administration, President-elect Joseph R. Biden Jr. intends to release nearly all available doses of the coronavirus vaccine soon after he is inaugurated, rather than hold back millions of vials to guarantee second doses will be available.",3,1
"When it comes to the sort of double-digit drop in oil and gas prices the Organization of the Petroleum Exporting Countries’s (OPEC) consortium is experiencing, other nations may have gotten help from China.",3,1
The Chicago Teachers Union said on Sunday that a majority of its members had voted to authorize a strike if the nation’s third-largest school district sought to force teachers back into school buildings.,3,1
"In more than four decades of coaching girls’ basketball at Lebanon Catholic High School in southeastern Pennsylvania, Patti Hower had led the team to three state championships and 20 district titles. This year, with four starting players returning, there were high hopes again.",3,1
"One day last March, as the coronavirus pandemic raged, Joseph R. Biden Jr. made one trip to a battleground state. In August, he again visited just one swing state. And on the second weekend in September, less than eight weeks before Election Day, Mr. Biden’s only activity was going to church near his Delaware home.",3,1
"Britain resumed using the Johnson & Johnson Covid-19 vaccine to inoculate health care workers on Sunday, a month after the country had stopped administering the shots to health care workers because it had seen a spike in infections.",3,1
"The coronavirus has killed more than 20,000 people in South Korea. But it has also left the country in a perilous race against a pandemic that has largely spared the most vulnerable South Korean society.",3,1
"In the latest challenge to Europe’s open borders, the French government said Thursday it would expel hundreds of thousands of migrants who have been caught in its offshore detention centers at the southwest of Europe.",3,1
This briefing has ended. Read about how the flooding disaster in Michigan came on top of the pain of the pandemic.,3,1
"Joseph R. Biden Jr. is flipping the script on President Trump, who has tried to frame the election as a choice between keeping the economy open or returning to coronavirus lockdowns under Democrats.",3,1
"The first confirmed coronavirus infections in Europe and the United States, discovered in January, did not ignite the epidemics that followed, according to a close analysis of hundreds of viral genomes.",3,1
"The crowded grocery stores that dot the block behind Deanery, the country’s largest, have been a constant sight this season: shoppers trying to cross the street, eager to touch a purchase they cannot quite make, and the authorities obliged to come back from off the cliff.",3,1
"There’s a pandemic, an economic recovery that’s begun to stall, and immediate need for new spending to shore up the economy as the coronavirus stalks the recovery from the pandemic.",3,1
"The Winchester Arms company, which produces the Remington Model 10 and last year’s Remington 12 handguns, filed for bankruptcy protection on Sunday, after falling victim to the pressures of a pandemic that destroyed nearly half a million jobs.",3,1
"After a string of deaths, some heart-stopping crashes and some tantalizing clues about the origins of the coronavirus, the mystery surrounding the origin of the global epidemic has been answered.",3,1
"American department stores, once all-powerful shopping meccas that anchored malls and Main Streets across the country, have been dealt blow after blow in the past decade. J.C. Penney and Sears were upended by hedge funds. Macy’s has been closing stores and cutting corporate staff. Barneys New York filed for bankruptcy last year.",3,1
"The U.S. Food and Drug Administration on Saturday authorized Johnson & Johnson’s single-shot Covid-19 vaccine for emergency use, beginning the rollout of millions of doses of a third effective vaccine that could significantly expand the vaccination effort.",3,1
"Advisers to President-elect Joseph R. Biden Jr. are planning for the increasing likelihood that the United States economy is headed for a “double-dip” recession early next year. They are pushing for Democratic leaders in Congress to reach a quick stimulus deal with Senate Republicans, even if it falls short of the larger package Democrats have been seeking, according to people familiar with the discussions.",3,1
The standard wisdom says investors should hang tough and ride out market declines. The bad news is that emerging markets may well be headed that direction.,3,1
"President Trump is determined to try to have a political comeback rally in spite of the devastating health and economic crises that have unfolded on his watch, as well as the nationwide protests against racism that have left him on the defensive.",3,1
"Coronavirus infections are surging in the Carolinas, overtaking hospitals and schools that serve the region’s 6.5 million residents.",3,1
"One of the most progressive lawmakers in the House and one of the most conservative in the Senate, staring down a pandemic-driven unemployment rate at its highest level since the Great Depression, have come to the same conclusion: It’s time for the federal government to cover workers’ incomes.",3,1
"President Trump made an unusually personal appeal for help overcoming the crippling effects of the coronavirus on Tuesday, pleading with Americans to rise above the partisan bickering and come together to defeat the a pandemic that has taken more than 255,000 lives in the United States.",3,1
"The Covid-19 vaccine was supposed to deliver a geopolitical win that showcased the country’s scientific prowess and generosity. Instead, in some places, it has set off a religious civil war.",3,1
A dispute between Democrats and the White House over how to handle coronavirus testing emerged on Monday as one of the most significant sticking points as negotiators struggled to finalize a nearly $500 billion bipartisan agreement to replenish a loan program for small businesses and provide more funding for hospitals and testing.,3,1
"In New York City, the daily onslaught of death from the coronavirus has dropped to half of what it was. In Chicago, a makeshift hospital in a lakefront convention center is closing, deemed no longer needed. And in New Orleans, new cases have dwindled to a handful each day.",3,1
"The College Board said on Tuesday that it would postpone plans to offer an online version of the SAT for high school students to take at home this year, further muddying a ritual of the college application process that had already been thrown into chaos by the coronavirus.",3,1
"at Virgin Atlantic’s passenger check-in desk. Then, at 3:30 p.m. on Oct. 22, after about a year on furlough, the airline announced that it would welcome back its 430,000 employees.",3,1
"A Canadian Air Force jet crashed, killing one of the military personnel on board, in Kamloops, British Columbia, on Sunday during a flyover that was intended as a tribute to Canadians.",3,1
"A pastor at a Louisiana megachurch who was previously cited for defying the state’s coronavirus stay-at-home orders is facing an aggravated assault charge after he backed up a bus toward a protester outside the church on Sunday, the authorities said on Monday.",3,1
"Bruce Dixon, a civil rights activist in Louisville, Ky., found himself at a disadvantage when seeking to be elected this year.",3,1
"He warned ominously of “red lines” in Russia’s security that, if crossed, would bring a “very difficult” end to the country’s modern military arsenal. He reminded Western leaders once again of the fearsomeness of his country’s modernized nuclear arsenal. And he boasted of Russia’s moral superiority over the West.",3,1
"A rapper who boasted in a music video about getting rich by fraudulently applying for unemployment has been accused of using stolen identities to obtain more than $1.2 million in jobless benefits, the authorities said.",3,1
"The Biden administration warned on Tuesday that the United States expected to make more apprehensions along the southwestern border this year than at any time in the past two decades, underscoring the urgency for the White House to develop solutions for the chronic problems with immigration from Central America.",3,1
"The pandemic has unseated Europe, but the implementation of the new virus is not yet complete.",3,1
"Disney has taken an especially hard hit from the pandemic, with its theme parks shuttered, movies postponed and ESPN cable channel without live sports to televise.",3,1
"If there’s one image that captures the panic seeping through the United States this week, it might be the empty store shelves where toilet paper usually sits.",3,1
"When the chief executive of the United States Conference of Mayors asked his company’s workers to voluntarily back President Trump at this year’s presidential debate, the response was clear: “Definitely make your voice heard and vote for Mr. Trump.",3,1
"Every night, we wait for the email. Sometimes it comes in the late afternoon, but many nights it doesn’t hit my inbox until 10 or 11 p.m. Eventually, it arrives, written by a beleaguered school principal letting students know that his students’ futures are uncertain because of the coronavirus outbreak.",3,1
A Georgia state trooper escorted a Republican state lawmaker out of the House chamber in Atlanta on Tuesday after he refused to abide by the legislature’s coronavirus testing protocols.,3,1
"Today, union leaders struggle with reopening conflicts, and our colleague Erica L. Green writes about what she chose to do in her home after she was laid off from her job last spring.",3,1
"In the final weeks of President Trump’s term, his administration is expected to make a series of decisions and deal-making bargains that will allow it to maintain its focus on the economy and the coronavirus pandemic while advancing his top priorities.",3,1
"Moderna and Pfizer acknowledged today that their vaccines might require alterations and boosters to fend off new and future variants of the virus. It’s a stark admission that the virus is adapting more quickly than previously thought, and that it may continue to mutate in ways that can help it evade vaccines.",3,1
"The Biden administration, with hundreds of billions of dollars to spend to end the Covid crisis, has set aggressive benchmarks to determine whether the economy has fully recovered, including returning to historically low unemployment and helping more than one million Black and Hispanic women return to work within a year.",3,1
"Layoffs are rising again and Americans’ incomes are falling, the latest signs that the one-two punch of a resurgent pandemic and waning government aid are undermining the U.S. economic recovery.",3,1
"Texas and Ohio have included abortions among the nonessential surgeries and medical procedures that they are requiring to be delayed, setting off a new front in the fight over abortion rights in the middle of the coronavirus pandemic in the United States.",3,1
"Typhoon Goni, which made landfall in the Philippines with intense winds early on Sunday morning, by the end of the day appeared to have spared the area in and around the capital Manila, with its 13 million residents.",3,1
"A federal judge in Los Angeles on Wednesday ordered the release of migrant children held in the country’s three family detention centers, ending a practice that had caused outrage as the country detained so many children in the country’s hospitals.",3,1
"Just off Wyoming Street in front of the Trump International Hotel in Washington, D.C., a small crowd of demonstrators on Fridayツーtweeted an image of their forearms around the mouth of a protester, unseen and unseen, as he or she bared his or her teeth. The protester’s head was turned toward the Capitol.",3,1
"As the virus continues to spread across the United States and treatments are needed more than ever, clinical trials for some of the most promising experimental drugs are taking longer than expected.",3,1
"The International Criminal Court has decided not to pursue an investigation into China’s mass detention of Muslims, a setback for activists eager to hold Beijing accountable for persecution of ethnic and religious minorities.",3,1
"A team of researchers has developed an experimental prototype for a fairly quick, cheap test to diagnose the coronavirus that causes Covid-19 that appears to be most infectious, National Public Radio reported on Tuesday.",3,1
